Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35785,35788,4.00E-005,1436.1,2542,NaN,6000,38440,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,1.396787,0.000698132
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.1,2600,NaN,4200,38527,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,2.446428013,0.001570796
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35782,35791,0.00011,1436.1,2600,NaN,NaN,39475,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,JM/12_08,1.684766327,0.000872665
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35987,35995,9.00E-005,1446.57,2532,NaN,NaN,39855,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,SC - ASCR,-0.191986218,0.001919862
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35420,35940,0.00618,1430.6,3400,NaN,NaN,41634,15,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,2.443460953,0.001396263
Falconsat-3,USA,US Air Force Academy,Civil/Military,Technology Development,LEO,NaN,538,540,0.00014,95.4,46,NaN,NaN,39150,NaN,US Air Force Academy,USA,Cape Canaveral,Atlas 5,www.satellitedebris.net 12/12,NaN,0.617846555
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,University of Texas - Austin,Civil,Technology Development,LEO,Sun-Synchronous,627,654,0.00193,97.54,55,NaN,NaN,40502,NaN,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,SC - ASCR,NaN,1.256113463
Fengniao 1 (Hummingbird 1),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,NaN,488,500,0.00087,94.49,NaN,NaN,NaN,41233,NaN,NaN,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,NaN,1.699078027
Fengniao 1A (Hummingbird 1A),China (PR),Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,NaN,488,500,0.00087,94.49,NaN,NaN,NaN,41233,NaN,NaN,China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,NaN,1.699078027
Fengyun 2D (FY-2D),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35777,35791,0.00017,1436,1390,620,NaN,39059,3,China Aerospace Corporation,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,1.509884336,0.013439035
Fengyun 2E (FY-2E),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35767,35803,0.00043,1436.04,1390,620,NaN,39805,3,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,2.157052423,0.045553093
Fengyun 2F (FY-2F),China (PR),China Meteorological Administration,Government,Earth Science,GEO,NaN,35760,35816,0.00066,1436.19,1390,620,NaN,40920,3,Shanghai Academy of Space Flight Technology,China (PR),Xichang Satellite Launch Center,Long March 3A,JM/5_12,1.832595715,0.038222711
Fengyun 3A (FY-3A),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,820,835,0.00104,101.5,2300,NaN,NaN,39595,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,NaN,1.720894642
Fengyun 3B (FY-3B),China (PR),China Meteorological Administration,Government,Earth Science,LEO,Sun-Synchronous,827,828,7.00E-005,101.5,2300,NaN,NaN,40486,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,www.satellitedebris.net 12/12,NaN,1.724385301
Fengyun 3C (FY-3C),China (PR),China Meteorological Administration,Government,Earth Science,LEO,NaN,827,828,7.00E-005,101.45,2300,NaN,NaN,41540,NaN,Shanghai Academy of Space Flight Technology,China (PR),Taiyuan Launch Center,Long March 4C,ZARYA,NaN,1.724559834
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,NASA/GSFC,Government,Astrophysics,LEO,NaN,537,556,0.00137,95.6,4303,NaN,NaN,39610,NaN,General Dynamics,USA,Cape Canaveral,Delta 2,www.satellitedebris.net 12/12,NaN,0.446804289
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1101,1107,4.00E-004,107.35,NaN,NaN,NaN,40442,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,SC - ASCR,NaN,2.146580447
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1068,1107,0.00261,107,NaN,NaN,NaN,41002,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,NaN,NaN,2.14675498
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,NaN,1066,1081,0.00101,106.7,NaN,NaN,NaN,41614,NaN,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,ZARYA estimated,NaN,2.14675498
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,NaN,443,886,0.03149,98,2,NaN,NaN,41614,3,Montana State University,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,NaN,443,886,0.03149,98,2,NaN,NaN,41614,3,Montana State University,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
Firefly,USA,NASA/Sienna College/Univ. of Maryland,Government/Civil,Earth Science,LEO,NaN,500,506,0.00044,94.68,3,NaN,NaN,41597,1,National Science Foundation,USA,Wallops Island Flight Facility,Minotaur 1,ZARYA,NaN,0.70703288
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,GEO,NaN,35745,35829,0.001,1436.13,2310,1884,NaN,32776,5,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,JM/2_09,-0.257261532,0.156556034
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2)",Taiwan,National Space Program Office (NSPO),Government/Military,Remote Sensing,LEO,Sun-Synchronous,890,893,0.00021,102.8,764,631,600,38128,5,Astrium/NSPO,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,www.satellitedebris.net 12/12,NaN,1.727875959
FORT (Fast On-orbit Recording of Transient Events),USA,Los Alamos National Labs/DOE,Government,Earth Observation,LEO,Intermediate,790,823,0.0023,101,215,41,55,35671,3,Los Alamos National Lab/Sandia National Lab,USA,Vandenberg AFB,Pegasus XL,www.satellitedebris.net 12/12,NaN,1.221730476
FUNCube-1 (AO-73),Netherlands,AMSAT-UK,Civil,Communications,LEO,NaN,594,683,0.00635,97.4,1,NaN,NaN,41599,NaN,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35785,35795,0.00012,1436.11,4488,2775,10400,36181,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,NaN,-0.968657735,0.000872665
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35775,35796,0.00025,1436.07,1760,800,NaN,37720,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.145009651,0.000872665
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.07,4060,2630,8600,37895,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3,JM/12_08,-2.216044551,0.000174533
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,2086,NaN,4700,38577,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,JM/12_08,-2.180963433,0.000174533
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,2033,NaN,4700,38638,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,-2.320764306,0.001047198
Galaxy-16,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.1,4640,NaN,10000,38886,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.728225025,0.000174533
Galaxy-17,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35799,3.00E-004,1436.1,4100,NaN,9500,39206,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,JM/12_08,-1.588424152,0.000349066
Galaxy-18,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,4642,NaN,NaN,39589,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-2.147104046,0.000349066
Galaxy-19,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.1,4690,NaN,NaN,39715,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.694365638,0.000872665
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35771,35801,0.00036,1436.08,3515,NaN,NaN,35574,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.624727001,0.000523599
"Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.11,3765,1469,8100,36206,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.623330737,0.000174533
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35794,0.00021,1436.06,3790,1537,NaN,36428,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-2.250253005,0
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.1,5493,NaN,16000,38526,13,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.552644903,0.000174533
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35784,35788,5.00E-005,1436.11,4860,2873,18000,37422,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.658411855,0.000174533
Galileo IOV-1 FM2,ESA,European Space Agency,Commerical,Navigation/Global Positioning,MEO,NaN,23242,23307,0.0011,846.98,700,NaN,1420,40837,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.954171502
Galileo IOV-1 PFM,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23240,23306,0.00111,846.88,700,NaN,1420,40837,12,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.954346035
Galileo IOV-2 FM3,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23214,23233,0.00032,844.76,700,NaN,1420,41194,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.965865208
Galileo IOV-2 FM4,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,NaN,23217,23227,0.00017,844.69,700,NaN,1420,41194,12,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,SC - ASCR,NaN,0.965167076
Gaofen 1,China (PR),Shanghai Academy of Spaceflight Technology (SAST),Government,Remote Sensing,LEO,NaN,630,654,0.00171,97.56,1000,NaN,NaN,41390,0.5,Shanghai Academy of Space Flight Technology,China (PR),Jiuquan Satellite Launch Center,Chang Zheng 2D,SC - ASCR,NaN,1.711644397
Garpun-1 (Cosmos 2473),Russia,Ministry of Defense,Military,Communications,GEO,NaN,35782,35790,9.00E-005,1436.1,5000,NaN,NaN,40806,NaN,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,JM/1_12,1.394518072,0.001570796
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,GEO,NaN,35774,35801,0.00032,1436.16,4291,2500,14000,36568,12,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,JM/12_08,2.147278579,0.021293017
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),Denmark,GomSpace ApS,Commercial,Technology Development,LEO,Sun-Synchronous,593,819,0.01597,98.9,3,NaN,NaN,41599,NaN,GomSpace/University of Aalborg,Denmark,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.705186679
Genesis-1,USA,Bigelow Aerospace,Commercial,Technology Development,LEO,NaN,522,569,0.0034,95.6,1360,NaN,NaN,38910,5,Bigelow Aerospace,USA,Dombarovsky Launch Facility,Dnepr,www.satellitedebris.net 12/12,NaN,1.125737368
Genesis-2,USA,Bigelow Aerospace,Commercial,Technology Development,LEO,NaN,508,586,0.00564,95.6,1360,NaN,NaN,39261,5,Bigelow Aerospace,USA,Yasny Cosmodrome,Dnepr,www.satellitedebris.net 12/12,NaN,1.125737368
GeoEye-1 (Orbview 5),USA,GeoEye,Commercial/Government,Remote Sensing,LEO,Sun-Synchronous,671,686,0.00106,98.3,1955,NaN,NaN,39697,7,General Dynamics,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.712167996
Geotail (Geomagnetic Tail Laboratory),Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Physics,Elliptical,Deep Highly Eccentric,3905,104552,0.83044,2474.83,980,NaN,273,33809,NaN,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,JMSatcat304,NaN,0.389208423
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Science,LEO,Sun-Synchronous,701,704,0.00021,98.8,1900,NaN,4.05,41046,5,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-II2,www.satellitedebris.net 12/12,NaN,1.713913325
Globalstar M004 (Globalstar 4),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1407,1412,0.00032,114,450,350,1500,35840,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M006 (Globalstar 6),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1415,0.00013,114.1,450,350,1500,35909,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M023 (Globalstar 9),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1406,1422,0.00103,114.1,450,350,1500,36200,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M025 (Globalstar 21),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,36321,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M027 (Globalstar 34),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,36389,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M028 (Globalstar 30),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1416,0.00026,114.1,450,350,1500,36366,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M029 (Globalstar 47),USA,Globalstar,Commercial,Communications,LEO,Intermediate,900,1413,0.03408,114.1,450,350,1500,36486,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M031 (Globalstar 44),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1477,1478,6.00E-005,114.1,450,350,1500,36451,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M037 (Globalstar 16),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1411,1417,0.00039,114.1,450,350,1500,36234,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M039 (Globalstar 45),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1411,1416,0.00032,114.1,450,350,1500,36486,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M040 (Globalstar 10),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1415,1416,6.00E-005,114.1,450,350,1500,36200,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M047 (Globalstar 23),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,36321,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M056 (Globalstar 43),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1414,6.00E-005,114.1,450,350,1500,36451,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M059 (Globalstar 42),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1415,0.00013,114.1,450,350,1500,36451,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M063 (Globalstar 49),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1414,6.00E-005,114.1,450,350,1500,36564,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M065 (Globalstar 65),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1411,1416,0.00032,114.1,450,350,1500,39231,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M066 (Globalstar 66),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,39375,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M067 (Globalstar 67),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1414,6.00E-005,114.1,450,350,1500,39375,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M068 (Globalstar 68),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1411,1414,0.00019,114,450,350,1500,39375,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M069 (Globalstar 69),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1411,1416,0.00032,114.1,450,350,1500,39231,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M070 (Globalstar 70),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,39375,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M071 (Globalstar 71),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,450,350,1500,39231,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
Globalstar M072 (Globalstar 72),USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1416,0.00026,114.1,450,350,1500,39231,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1414,6.00E-005,114.1,700,NaN,1700,40470,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1415,0.00013,114.1,700,NaN,1700,40470,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1415,0.00013,114.1,700,NaN,1700,40470,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",USA,Globalstar,Commercial,Communications,LEO,Intermediate,1412,1415,0.00019,114.1,700,NaN,1700,40470,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",USA,Globalstar,Commercial,Communications,LEO,Intermediate,1413,1414,6.00E-005,114.1,700,NaN,1700,40470,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,0.907571211
